Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Uganda,8,12,21,18.5753424657534,0.666666666666667,1.13053097345133,101,0-4
Uganda,1,12,22,18.0493150684931,0.0833333333333333,1.21888281724348,107,0-4
Uganda,0,12,2,17.9506849315068,0,0.111416361416362,118,0-4
Uganda,0,12,2,17.786301369863,0,0.112446087492298,119,0-4
Uganda,1,12,4,18.2465753424658,0.0833333333333333,0.219219219219219,120,0-4
Uganda,6,12,8,17.4904109589041,0.5,0.457393483709273,129,0-4
Zimbabwe,0,12,1,5.98356164383562,0,0.167124542124542,2,0-4
Zimbabwe,13,12,61,25.0849315068493,1.08333333333333,2.43173875054609,3,0-4
Zimbabwe,2,12,6,15.2219178082192,0.166666666666667,0.394168466522678,17,0-4
Zimbabwe,15,12,60,25.5123287671233,1.25,2.35180412371134,19,0-4
Zimbabwe,44,12,60,24.8876712328767,3.66666666666667,2.4108322324967,22,0-4
Zimbabwe,0,12,5,14.0712328767123,0,0.355334890965733,36,0-4
Zimbabwe,5,12,5,13.2493150684932,0.416666666666667,0.377377998345739,38,0-4
Zimbabwe,3,12,2,24.9534246575342,0.25,0.0801493192797542,41,0-4
Zimbabwe,0,12,1,5.98356164383562,0,0.167124542124542,52,0-4
Zimbabwe,0,12,2,12.3616438356164,0,0.161790780141844,71,0-4
Zimbabwe,1,12,4,12.6246575342466,0.0833333333333333,0.316840277777777,79,0-4
Zimbabwe,0,12,2,13.6109589041096,0,0.146940418679549,80,0-4
Zimbabwe,27,12,59,24.8876712328767,2.25,2.37065169528842,82,0-4
Zimbabwe,0,12,4,9.96164383561644,0,0.401540154015401,90,0-4
Zimbabwe,0,12,25,23.1452054794521,0,1.08013731060606,97,0-4
Zimbabwe,19,12,28,23.7698630136986,1.58333333333333,1.17796219455971,100,0-4
Zimbabwe,9,12,57,24.8876712328767,0.75,2.29029062087186,113,0-4
Zimbabwe,3,12,11,14.5972602739726,0.25,0.753566066066066,122,0-4
Zimbabwe,2,12,32,24.8876712328767,0.166666666666667,1.28577719066491,124,0-4
Cote d'Ivoire,30,12,33,22.7506849315068,2.5,1.45050578034682,10,5-14
Cote d'Ivoire,6,12,2,19.6602739726027,0.5,0.101727982162765,11,5-14
Cote d'Ivoire,5,12,12,23.2767123287671,0.416666666666667,0.515536723163842,12,5-14
Cote d'Ivoire,12,12,5,17.2602739726027,1,0.28968253968254,13,5-14
Cote d'Ivoire,3,12,8,22.8821917808219,0.25,0.349616858237548,33,5-14
Cote d'Ivoire,0,12,1,19.5945205479452,0,0.0510346756152125,39,5-14
Cote d'Ivoire,10,12,5,21.2712328767123,0.833333333333333,0.235059247810407,40,5-14
