Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Kenya,0,12,0,20.9753424657534,0,0,73,0-4
Kenya,2,12,8,20.7123287671233,0.166666666666667,0.386243386243386,78,0-4
Kenya,2,12,10,21.041095890411,0.166666666666667,0.475260416666666,85,0-4
Kenya,0,12,5,21.041095890411,0,0.237630208333333,88,0-4
Kenya,1,12,0,21.041095890411,0.0833333333333333,0,96,0-4
Kenya,0,12,0,20.5479452054795,0,0,98,0-4
Kenya,0,12,0,20.9424657534247,0,0,103,0-4
Kenya,4,12,0,21.041095890411,0.333333333333333,0,104,0-4
Kenya,0,12,1,21.0082191780822,0,0.0476004173187272,105,0-4
Kenya,1,12,0,21.0082191780822,0.0833333333333333,0,106,0-4
Kenya,1,12,9,21.0082191780822,0.0833333333333333,0.428403755868544,111,0-4
Kenya,2,12,5,21.0082191780822,0.166666666666667,0.238002086593636,123,0-4
Kenya,1,12,2,20.7452054794521,0.0833333333333333,0.0964078182778656,126,0-4
Lesotho,2,12,3,18.9369863013699,0.166666666666667,0.158420138888889,3,0-4
Lesotho,0,12,3,18.8712328767123,0,0.15897212543554,36,0-4
Lesotho,0,12,0,18.6082191780822,0,0,62,0-4
Lesotho,0,12,0,18.5095890410959,0,0,69,0-4
Lesotho,0,12,0,17.786301369863,0,0,72,0-4
Lesotho,0,12,1,18.9698630136986,0,0.0527151935297517,74,0-4
Lesotho,4,12,2,18.5095890410959,0.333333333333333,0.108052101835406,76,0-4
Lesotho,3,12,15,18.8383561643836,0.25,0.796247818499126,79,0-4
Lesotho,2,12,3,18.5095890410959,0.166666666666667,0.162078152753108,80,0-4
Lesotho,3,12,1,18.8383561643836,0.25,0.0530831878999417,81,0-4
Lesotho,1,12,5,16.7013698630137,0.0833333333333333,0.299376640419947,82,0-4
Lesotho,0,12,4,18.9698630136986,0,0.210860774119007,90,0-4
