Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
DRC,35,12,149,22.2904109589041,2.91666666666667,6.68448869223206,70,0-4
DRC,21,12,70,22.2575342465753,1.75,3.14500246184146,71,0-4
DRC,7,12,6,22.2575342465753,0.583333333333333,0.269571639586411,77,0-4
DRC,0,12,6,22.2575342465753,0,0.269571639586411,105,0-4
DRC,5,12,63,22.2904109589041,0.416666666666667,2.82632743362832,139,0-4
Kenya,0,12,0,20.9753424657534,0,0,74,0-4
Kenya,98,12,255,21.041095890411,8.16666666666667,12.119140625,80,0-4
Kenya,0,12,0,20.9753424657534,0,0,82,0-4
Kenya,2,12,8,20.7123287671233,0.166666666666667,0.386243386243386,88,0-4
Kenya,2,12,10,21.041095890411,0.166666666666667,0.475260416666666,96,0-4
Kenya,0,12,5,21.041095890411,0,0.237630208333333,100,0-4
Kenya,1,12,0,21.041095890411,0.0833333333333333,0,109,0-4
Kenya,0,12,0,20.5479452054795,0,0,111,0-4
Kenya,0,12,0,20.9424657534247,0,0,117,0-4
Kenya,5,12,0,21.041095890411,0.416666666666667,0,119,0-4
Kenya,0,12,1,21.0082191780822,0,0.0476004173187272,120,0-4
Kenya,1,12,0,21.0082191780822,0.0833333333333333,0,121,0-4
Kenya,1,12,9,21.0082191780822,0.0833333333333333,0.428403755868544,126,0-4
Kenya,2,12,5,21.0082191780822,0.166666666666667,0.238002086593636,143,0-4
Kenya,1,12,2,20.7452054794521,0.0833333333333333,0.0964078182778656,146,0-4
Lesotho,2,12,3,18.9369863013699,0.166666666666667,0.158420138888889,3,0-4
Lesotho,0,12,3,18.8712328767123,0,0.15897212543554,39,0-4
Lesotho,0,12,0,18.6082191780822,0,0,69,0-4
Lesotho,0,12,0,18.5095890410959,0,0,78,0-4
Lesotho,0,12,0,17.786301369863,0,0,81,0-4
Lesotho,0,12,1,18.9698630136986,0,0.0527151935297517,83,0-4
Lesotho,4,12,2,18.5095890410959,0.333333333333333,0.108052101835406,85,0-4
Lesotho,3,12,15,18.8383561643836,0.25,0.796247818499126,89,0-4
Lesotho,2,12,3,18.5095890410959,0.166666666666667,0.162078152753108,90,0-4
Lesotho,3,12,1,18.8383561643836,0.25,0.0530831878999417,92,0-4
Lesotho,1,12,5,16.7013698630137,0.0833333333333333,0.299376640419947,93,0-4
Lesotho,0,12,4,18.9698630136986,0,0.210860774119007,102,0-4
Lesotho,14,12,6,18.9041095890411,1.16666666666667,0.317391304347826,114,0-4
Lesotho,0,12,0,17.8191780821918,0,0,122,0-4
Lesotho,0,12,4,18.6082191780822,0,0.214958775029446,124,0-4
Lesotho,2,12,5,18.5095890410959,0.166666666666667,0.270130254588514,125,0-4
Lesotho,1,12,0,17.1287671232877,0.0833333333333333,0,127,0-4
Lesotho,4,12,12,18.4109589041096,0.333333333333333,0.651785714285714,131,0-4
Lesotho,1,12,8,18.2794520547945,0.0833333333333333,0.437649880095924,142,0-4
Malawi,2,12,18,23.9342465753425,0.166666666666667,0.752060439560439,1,0-4
Malawi,0,12,0,23.572602739726,0,0,4,0-4
Malawi,3,12,10,23.6712328767123,0.25,0.422453703703704,19,0-4
Malawi,5,12,13,23.7698630136986,0.416666666666667,0.546911018902721,21,0-4
